incident_id,opened_at,resolved_at,short_description,category,priority,assignment_group,state,reopen_count
INC0022,2026-02-01 6:20,2026-02-03 9:12,Keyboard keys unresponsive,Hardware,3-Moderate,Cloud Infrastructure,Resolved,0
INC0023,2026-02-20 8:48,2026-02-22 5:16,Intermittent packet loss to data center,Network,4-Low,Security Operations,Closed,1
INC0024,2025-12-20 11:49,2025-12-22 13:41,Cannot reach internal SharePoint site,Network,3-Moderate,Storage & Backup,Closed,0
INC0025,2025-11-21 22:26,2025-11-23 17:59,Teams audio not working in meetings,Software,4-Low,Application Support - CRM,Resolved,0
INC0026,2025-10-23 10:31,2025-10-26 9:13,Webcam not recognized by system,Hardware,3-Moderate,Application Support - CRM,Closed,0
INC0027,2025-11-20 12:10,2025-11-25 5:44,Outlook crashing on startup,Software,4-Low,Storage & Backup,Resolved,0
INC0028,2026-04-10 14:27,2026-04-11 8:20,VPN client disconnecting frequently,Software,3-Moderate,Security Operations,Resolved,0
INC0029,2026-03-14 11:36,2026-03-16 22:00,Firewall blocking required application port,Network,3-Moderate,Network Operations,Resolved,1
INC0030,2025-12-05 0:53,,Production DB replication lag exceeding SLA,Database,4-Low,Windows Server Team,On Hold,0
INC0031,2026-02-24 7:31,2026-02-26 15:18,Cannot reach internal SharePoint site,Network,4-Low,Network Operations,Closed,2
INC0032,2025-12-22 15:50,2025-12-23 7:14,Unable to connect to corporate WiFi,Net,3-Moderate,Linux Server Team,Resolved,0
INC0033,2025-12-25 20:50,2025-12-26 2:12,Windows update failing repeatedly,Software,1-Critical,Application Support - ERP,Resolved,0
INC0034,2026-03-17 0:33,2026-03-15 19:35,Windows update failing repeatedly,Software,3-Moderate,Cloud Infrastructure,Closed,0
INC0035,2026-01-22 15:12,2026-01-24 22:18,Network printer unreachable from VLAN,Network,3-Moderate,Network Operations,Closed,1
INC0036,2025-10-27 11:49,2025-10-28 11:30,Antivirus blocking legitimate application,Software,2-High,Network Operations,Closed,0
INC0037,2026-04-14 2:05,2026-04-16 22:32,Scheduled maintenance plan did not run,Database,2-High,Database Administration,Resolved,0
INC0038,2026-02-08 6:46,2026-02-11 17:35,Mouse cursor freezing,Hardware,4-Low,Network Operations,Resolved,1
INC0039,2025-12-12 1:55,2025-12-16 20:35,Index corruption detected on customer table,Database,3-Moderate,Desktop Support,Closed,0
INC0040,2025-11-21 0:55,2025-11-22 7:05,Load balancer reporting unhealthy nodes,Network,4-Low,Network Operations,Closed,0
INC0041,2025-10-26 13:01,,Connection pool exhaustion alerts,Database,4-Low,Database Administration,On Hold,0
INC0042,2026-04-03 0:46,,Guest WiFi authentication failing,Network,3-Moderate,Database Administration,On Hold,0
INC0043,2026-01-06 6:12,2026-01-06 23:47,VPN client disconnecting frequently,Software,2-High,End User Computing,Closed,0
INC0044,2026-01-13 23:28,2026-01-15 16:15,Slow query performance on reporting DB,Database,3-Moderate,Database Administration,Closed,2
INC0045,2026-02-04 11:52,2026-02-10 3:09,Production DB replication lag exceeding SLA,Database,2-High,Storage & Backup,Closed,0
INC0046,2025-11-13 23:05,2025-11-14 7:27,Headset microphone not working,Hardware,2-High,End User Computing,Closed,0
INC0047,2025-12-22 7:49,2025-12-23 5:59,Antivirus blocking legitimate application,Software,2-High,Linux Server Team,Closed,0
INC0048,2026-03-28 4:01,2026-03-30 14:07,Hard drive making clicking noise,Hardware,3-Moderate,Service Desk - Tier 1,Resolved,0
INC0049,2026-01-01 1:55,2026-01-03 19:43,Docking station not detecting external display,Hardware,4-Low,Linux Server Team,Closed,1
INC0050,2025-12-24 8:02,2026-01-10 5:26,Connection pool exhaustion alerts,Database,4-Low,Windows Server Team,Resolved,0
INC0051,2026-03-26 16:10,2026-03-28 12:56,Deadlock errors on orders table,Database,2-High,Desktop Support,Closed,0
INC0052,2026-03-09 23:25,2026-03-14 4:12,Connection pool exhaustion alerts,Database,2-High,Database Administration,Closed,0
INC0053,2026-03-08 5:32,2026-03-09 4:17,Load balancer reporting unhealthy nodes,Network,3-Moderate,Storage & Backup,Closed,0
INC0054,2026-03-19 8:49,2026-03-19 23:15,VPN client disconnecting frequently,Software,3-Moderate,Application Support - ERP,Resolved,0
INC0055,2026-03-07 4:12,2026-03-05 23:28,SAP GUI timeout errors,Software,4-Low,Application Support - ERP,Resolved,0
INC0056,2025-11-04 10:31,2025-11-05 15:40,Headset microphone not working,Hardware,4-Low,End User Computing,Closed,0
INC0057,2026-03-25 7:07,2026-03-29 22:20,Antivirus blocking legitimate application,Software,4-Low,End User Computing,Resolved,0
INC0058,2025-12-02 2:21,,Printer paper jam recurring,Hardware,3-Moderate,Desktop Support,On Hold,0
INC0059,2026-01-18 5:29,2026-01-18 11:19,SAP GUI timeout errors,Software,1-Critical,Service Desk - Tier 1,Closed,0
INC0060,2025-11-30 3:54,2025-12-02 5:21,Slow network performance in HQ floor 3,Network,3-Moderate,Service Desk - Tier 1,Resolved,0
INC0061,2026-01-08 21:49,2026-01-10 13:25,Guest WiFi authentication failing,Network,3-Moderate,Cloud Infrastructure,Closed,0
INC0062,2026-02-11 10:37,2026-02-15 17:28,Keyboard keys unresponsive,Hardware,4-Low,Database Administration,Resolved,0
INC0063,2026-01-26 5:36,2026-01-27 15:44,VPN tunnel dropping every 15 minutes,Network,3-Moderate,Network Operations,Resolved,0
INC0064,2025-10-29 21:01,2025-10-31 1:42,Load balancer reporting unhealthy nodes,Network,3-Moderate,Security Operations,Resolved,0
INC0065,2026-03-18 15:16,2026-03-20 10:50,Index corruption detected on customer table,Database,2-High,Network Operations,Closed,2
INC0066,2026-01-09 23:22,2026-01-12 17:48,VPN client disconnecting frequently,Software,3-Moderate,Application Support - CRM,Closed,0
INC0067,2026-01-19 10:46,2026-01-22 5:46,Slow network performance in HQ floor 3,Network,3-Moderate,Network Operations,Closed,0
INC0068,2025-10-23 5:57,2025-11-14 13:45,Scheduled maintenance plan did not run,Database,4-Low,Application Support - ERP,Closed,0
INC0069,2026-03-07 4:34,2026-03-17 12:51,Slow query performance on reporting DB,Database,3-Moderate,Database Administration,Closed,0
INC0070,2026-02-14 8:26,2026-02-14 11:45,Outlook crashing on startup,Software,1-Critical,Linux Server Team,Closed,0
INC0071,2026-02-20 18:35,2026-02-25 4:25,Windows update failing repeatedly,Software,4-Low,End User Computing,Closed,0
INC0072,2026-02-22 7:25,2026-02-23 17:47,Long running query blocking transactions,Database,1-Critical,Database Administration,Closed,0
INC0073,2025-11-20 0:24,2025-11-20 12:38,Headset microphone not working,HW,2-High,End User Computing,Closed,0
INC0074,2026-02-23 14:51,2026-02-23 23:27,PowerBI report failing to refresh,Software,3-Moderate,Desktop Support,Closed,0
INC0075,2026-03-05 19:05,,Cannot reach internal SharePoint site,Network,2-High,Network Operations,On Hold,0
INC0076,2025-12-31 10:52,2026-01-05 9:32,Connection pool exhaustion alerts,Database,2-High,Security Operations,Closed,0
INC0077,2026-04-16 1:58,2026-04-18 0:50,Headset microphone not working,Hardware,3-Moderate,Desktop Support,Resolved,0
INC0078,2025-12-21 17:43,2025-12-23 6:20,Adobe Acrobat license expired error,Software,4-Low,Cloud Infrastructure,Resolved,0
INC0079,2026-01-28 4:31,2026-02-01 11:42,Teams audio not working in meetings,Software,4-Low,Cloud Infrastructure,Closed,0
INC0080,2025-12-05 13:26,2025-12-05 20:27,Hard drive making clicking noise,Hardware,1-Critical,Service Desk - Tier 1,Resolved,0
INC0081,2026-03-02 7:20,2026-03-04 8:12,Firewall blocking required application port,Network,3-Moderate,Service Desk - Tier 1,Resolved,1
INC0082,2026-03-31 17:26,2026-04-01 11:27,Unable to connect to corporate WiFi,Network,2-High,Network Operations,Closed,0
INC0083,2026-01-02 19:02,2026-01-05 15:34,Keyboard keys unresponsive,Hardware,3-Moderate,End User Computing,Closed,0
INC0084,2026-03-05 18:56,2026-03-20 8:56,Scheduled maintenance plan did not run,Database,4-Low,Storage & Backup,Closed,0
INC0085,2026-04-05 10:07,2026-04-05 15:57,Laptop will not power on,Hardware,2-High,Storage & Backup,Closed,0
INC0086,2026-02-07 8:47,2026-02-07 17:06,Antivirus blocking legitimate application,Software,2-High,Service Desk - Tier 1,Resolved,1
INC0087,2025-11-13 2:17,2025-11-13 11:14,Adobe Acrobat license expired error,Software,3-Moderate,Service Desk - Tier 1,Resolved,0
INC0088,2026-01-23 5:28,2026-01-25 3:27,Antivirus blocking legitimate application,Software,3-Moderate,Service Desk - Tier 1,Resolved,0
INC0089,2026-01-23 18:13,2026-01-27 14:36,Slow network performance in HQ floor 3,Network,4-Low,Network Operations,Closed,0
INC0090,2025-12-24 21:28,2025-12-26 0:20,Excel file corrupted on save,Software,3-Moderate,Security Operations,Closed,0
INC0091,2026-04-01 10:03,2026-04-04 3:01,Adobe Acrobat license expired error,Software,4-Low,End User Computing,Closed,0
INC0092,2025-11-10 12:01,2025-11-17 18:41,Long running query blocking transactions,Database,4-Low,Database Administration,Closed,1
INC0093,2026-02-16 8:06,,Tablespace reaching capacity threshold,Database,3-Moderate,Database Administration,On Hold,0
INC0094,2025-12-29 17:38,2026-01-01 2:27,PowerBI report failing to refresh,Software,3-Moderate,End User Computing,Resolved,1
INC0095,2025-10-28 8:55,2025-10-24 21:09,Headset microphone not working,Hardware,3-Moderate,Cloud Infrastructure,Resolved,0
INC0096,2026-01-18 20:08,2026-01-21 2:19,Monitor flickering intermittently,Hardware,3-Moderate,End User Computing,Closed,0
INC0097,2026-01-25 1:20,2026-01-25 13:37,Monitor flickering intermittently,Hardware,2-High,Desktop Support,Resolved,0
INC0098,2026-02-16 3:03,2026-03-03 5:35,Long running query blocking transactions,Database,3-Moderate,Service Desk - Tier 1,Closed,0
INC0099,2026-02-08 5:50,2026-02-08 18:27,Outlook crashing on startup,Software,3-Moderate,Application Support - CRM,Closed,0
INC0100,2026-01-11 20:35,2026-01-14 18:25,Firewall blocking required application port,Network,3-Moderate,Security Operations,Resolved,1
INC0101,2026-01-08 12:13,2026-01-09 0:08,Keyboard keys unresponsive,Hardware,2-High,Service Desk - Tier 1,Closed,0
INC0102,2026-03-30 18:34,2026-03-31 9:09,VPN client disconnecting frequently,Software,3-Moderate,Cloud Infrastructure,Resolved,0
INC0103,2026-02-09 5:11,2026-02-12 0:20,Antivirus blocking legitimate application,Software,3-Moderate,Application Support - ERP,Closed,2
INC0104,2025-12-20 13:14,2025-12-20 19:49,Unable to connect to corporate WiFi,Network,1-Critical,Service Desk - Tier 1,Closed,1
INC0105,2026-02-15 2:36,2026-02-19 6:37,Laptop battery draining rapidly,Hardware,4-Low,End User Computing,Closed,0
INC0106,2025-11-03 18:21,2025-11-06 7:56,VPN client disconnecting frequently,Software,3-Moderate,Service Desk - Tier 1,Closed,0
INC0107,2026-04-18 23:53,2026-04-20 18:00,Long running query blocking transactions,Database,3-Moderate,Database Administration,Closed,0
INC0108,2026-04-16 17:51,2026-04-19 21:51,Slow query performance on reporting DB,Database,3-Moderate,Network Operations,Resolved,0
INC0109,2026-03-29 15:42,2026-04-01 12:19,Monitor flickering intermittently,Hardware,3-Moderate,Linux Server Team,Resolved,0
INC0110,2026-03-20 12:32,2026-03-20 21:04,Slow network performance in HQ floor 3,network,2-High,Database Administration,Closed,0
INC0111,2026-02-15 17:22,2026-02-19 19:23,Keyboard keys unresponsive,Hardware,4-Low,Security Operations,Resolved,0
INC0112,2025-12-17 1:51,2025-12-17 21:32,Firewall blocking required application port,Network,2-High,Security Operations,Closed,0
INC0113,2026-02-02 4:08,2026-02-03 20:49,Index corruption detected on customer table,Database,2-High,Storage & Backup,Closed,0
INC0114,2025-11-08 0:53,2025-11-10 18:49,Printer paper jam recurring,Hardware,3-Moderate,Storage & Backup,Closed,1
INC0115,2026-01-05 17:39,2026-01-06 3:28,Hard drive making clicking noise,Hardware,3-Moderate,Storage & Backup,Closed,0
INC0116,2026-03-19 2:27,2026-03-19 10:47,VPN tunnel dropping every 15 minutes,Network,3-Moderate,Application Support - ERP,Resolved,0
INC0117,2025-11-01 0:31,2025-11-04 20:58,Scheduled maintenance plan did not run,Database,2-High,Service Desk - Tier 1,Closed,0
INC0118,2025-12-30 6:14,2025-12-30 18:34,Excel file corrupted on save,Software,2-High,End User Computing,Closed,0
INC0119,2026-01-03 5:42,2026-01-05 16:10,Monitor flickering intermittently,Hardware,3-Moderate,Storage & Backup,Resolved,0
INC0120,2026-02-24 13:38,2026-02-26 3:22,VPN tunnel dropping every 15 minutes,Network,3-Moderate,Service Desk - Tier 1,Closed,0
INC0121,2025-10-30 21:17,2025-10-31 11:28,Deadlock errors on orders table,DB,1-Critical,Database Administration,Closed,1
INC0122,2026-01-02 5:05,2026-01-03 17:14,Keyboard keys unresponsive,Hardware,3-Moderate,Application Support - ERP,Closed,0
INC0123,2026-02-16 17:38,2026-02-17 20:26,Cannot reach internal SharePoint site,Network,3-Moderate,Network Operations,Closed,0
INC0124,2026-03-12 21:12,2026-03-30 16:11,Long running query blocking transactions,Database,3-Moderate,Windows Server Team,Closed,0
INC0125,2026-03-23 11:10,2026-03-23 17:42,Antivirus blocking legitimate application,Software,2-High,Service Desk - Tier 1,Resolved,0
INC0126,2026-02-11 4:40,2026-02-18 2:03,Database backup job failed overnight,Database,3-Moderate,Application Support - ERP,Resolved,0
INC0127,2026-02-18 13:33,2026-02-19 11:53,Laptop battery draining rapidly,Hardware,2-High,Desktop Support,Closed,0
INC0128,2026-03-01 10:21,,Hard drive making clicking noise,Hardware,4-Low,Security Operations,On Hold,0
INC0129,2026-03-07 17:15,2026-03-09 4:54,VPN tunnel dropping every 15 minutes,Network,4-Low,Network Operations,Resolved,0
INC0130,2026-02-06 20:51,2026-02-07 9:04,Firewall blocking required application port,Network,3-Moderate,Database Administration,Resolved,0
INC0131,2026-01-21 4:56,2026-01-23 21:07,Keyboard keys unresponsive,Hardware,3-Moderate,Storage & Backup,Closed,0
INC0132,2025-11-23 4:49,2025-11-24 10:57,Monitor flickering intermittently,Hardware,3-Moderate,Desktop Support,Closed,0
INC0133,2026-01-28 8:09,2026-01-30 5:19,Network printer unreachable from VLAN,Network,3-Moderate,Network Operations,Closed,1
INC0134,2026-02-24 7:23,2026-02-24 13:47,Laptop will not power on,Hardware,1-Critical,Application Support - ERP,Closed,0
INC0135,2026-03-28 12:31,2026-03-29 1:11,Firewall blocking required application port,Network,3-Moderate,Network Operations,Closed,0
INC0136,2026-04-07 21:30,2026-04-10 6:11,Chrome browser freezing on launch,Software,3-Moderate,Application Support - CRM,Resolved,0
INC0137,2026-04-08 13:17,,Antivirus blocking legitimate application,Software,1-Critical,Application Support - ERP,On Hold,2
INC0138,2025-11-28 14:41,2025-12-01 14:34,Outlook crashing on startup,Software,4-Low,Service Desk - Tier 1,Resolved,0
INC0139,2025-11-01 13:32,2025-11-01 1:25,Database backup job failed overnight,Database,2-High,Storage & Backup,Closed,0
INC0140,2025-11-29 13:09,2025-12-05 21:19,Connection pool exhaustion alerts,Database,3-Moderate,Windows Server Team,Resolved,0
INC0141,2026-01-01 17:50,2026-01-04 17:51,Keyboard keys unresponsive,Hardware,4-Low,Security Operations,Closed,1
INC0142,2026-02-18 19:06,2026-03-11 16:36,Scheduled maintenance plan did not run,Database,4-Low,Application Support - ERP,Closed,0
INC0143,2025-11-13 0:47,2025-11-13 8:39,Unable to connect to corporate WiFi,Network,1-Critical,Application Support - CRM,Closed,0
INC0144,2026-02-21 21:28,2026-02-23 5:48,Antivirus blocking legitimate application,Software,3-Moderate,End User Computing,Closed,0
INC0145,2025-12-01 8:12,2025-12-04 3:07,Laptop will not power on,Hardware,3-Moderate,Security Operations,Closed,0
INC0146,2025-11-25 9:05,2025-11-27 4:02,Cannot reach internal SharePoint site,Network,3-Moderate,Application Support - CRM,Closed,0
INC0147,2025-12-19 12:59,,Teams audio not working in meetings,Software,2-High,Linux Server Team,On Hold,0
INC0148,2026-03-26 4:51,,Tablespace reaching capacity threshold,Database,3-Moderate,Database Administration,On Hold,0
INC0149,2026-03-21 20:44,2026-03-26 7:24,Tablespace reaching capacity threshold,Database,3-Moderate,Cloud Infrastructure,Closed,0
INC0150,2026-02-19 7:15,2026-02-19 18:30,DNS resolution failures on finance subnet,Network,3-Moderate,Service Desk - Tier 1,Closed,0
INC0151,2026-02-06 14:49,2026-02-26 15:21,Tablespace reaching capacity threshold,Database,4-Low,Database Administration,Closed,0
INC0152,2026-04-05 20:50,2026-04-06 19:06,Laptop will not power on,Hardware,2-High,End User Computing,Resolved,0
INC0153,2025-12-17 23:00,,Production DB replication lag exceeding SLA,Database,3-Moderate,Service Desk - Tier 1,On Hold,0
INC0154,2026-02-24 6:43,2026-02-27 2:48,Printer paper jam recurring,Hardware,3-Moderate,Storage & Backup,Closed,0
INC0155,2025-12-27 5:03,2026-01-09 7:29,Slow query performance on reporting DB,Database,3-Moderate,Application Support - ERP,Closed,0
INC0156,2025-12-09 21:58,2025-12-10 9:39,Headset microphone not working,Hardware,2-High,Security Operations,Closed,0
INC0157,2025-12-21 7:49,2025-12-21 9:56,Slow network performance in HQ floor 3,Network,1-Critical,Windows Server Team,Closed,2
INC0158,2025-11-21 11:53,2025-11-22 11:40,Load balancer reporting unhealthy nodes,Network,2-High,Cloud Infrastructure,Closed,1
INC0159,2026-02-01 19:02,2026-02-02 8:02,PowerBI report failing to refresh,Software,3-Moderate,Storage & Backup,Resolved,0
INC0160,2026-03-03 20:24,2026-03-06 21:24,SAP GUI timeout errors,Software,4-Low,Desktop Support,Closed,0
INC0161,2025-10-26 23:27,2025-10-29 7:11,Hard drive making clicking noise,Hardware,3-Moderate,Security Operations,Closed,0
INC0162,2025-10-28 21:53,,Docking station not detecting external display,Hardware,1-Critical,Network Operations,On Hold,0
INC0163,2026-04-18 20:03,2026-04-20 18:00,Failover cluster node not rejoining,Database,4-Low,Network Operations,Closed,3
INC0164,2025-10-23 10:11,2025-10-30 2:57,Deadlock errors on orders table,Database,3-Moderate,Database Administration,Closed,0
INC0165,2025-10-29 0:08,2025-10-28 2:46,Slow network performance in HQ floor 3,Network,4-Low,Application Support - CRM,Resolved,0
INC0166,2026-02-04 13:27,2026-02-04 15:59,Headset microphone not working,Hardware,1-Critical,Desktop Support,Closed,0
INC0167,2026-01-31 23:12,,DNS resolution failures on finance subnet,Network,4-Low,Network Operations,On Hold,0
INC0168,2025-12-28 15:05,2025-12-31 1:22,VPN client disconnecting frequently,Software,3-Moderate,Application Support - ERP,Closed,0
INC0169,2025-11-19 18:43,,Index corruption detected on customer table,Database,2-High,Storage & Backup,On Hold,0
INC0170,2025-12-01 5:37,2025-12-02 7:19,Production DB replication lag exceeding SLA,Database,2-High,Database Administration,Closed,0
INC0171,2026-03-12 9:30,2026-03-12 17:50,Laptop will not power on,Hardware,2-High,Desktop Support,Resolved,0
INC0172,2026-03-06 19:51,,Headset microphone not working,Hardware,4-Low,Security Operations,On Hold,0
INC0173,2026-02-03 8:59,2026-02-07 21:44,SAP GUI timeout errors,Software,4-Low,Cloud Infrastructure,Closed,0
INC0174,2025-12-04 17:12,2025-12-06 12:37,Teams audio not working in meetings,Software,3-Moderate,Desktop Support,Resolved,0
INC0175,2026-03-04 17:36,2026-03-08 22:10,Failover cluster node not rejoining,Database,2-High,Database Administration,Resolved,0
INC0176,2025-11-03 3:42,,Scheduled maintenance plan did not run,Database,4-Low,Service Desk - Tier 1,On Hold,1
INC0177,2025-12-06 16:33,2025-12-07 14:33,Headset microphone not working,Hardware,3-Moderate,End User Computing,Resolved,0
INC0178,2026-03-11 23:39,2026-03-12 8:45,Keyboard keys unresponsive,Hard Ware,3-Moderate,Service Desk - Tier 1,Closed,0
INC0179,2025-12-30 13:48,2025-12-31 21:41,Chrome browser freezing on launch,Software,3-Moderate,Application Support - ERP,Closed,1
INC0180,2025-11-09 21:44,2025-11-13 10:52,Monitor flickering intermittently,Hardware,4-Low,Application Support - ERP,Resolved,0
INC0181,2026-02-02 7:24,2026-02-06 1:51,Cannot reach internal SharePoint site,Network,4-Low,Service Desk - Tier 1,Closed,0
INC0182,2026-04-05 21:16,2026-04-07 18:51,Guest WiFi authentication failing,Network,3-Moderate,Storage & Backup,Closed,0
INC0183,2026-02-04 17:12,2026-02-09 16:05,PowerBI report failing to refresh,Software,4-Low,Cloud Infrastructure,Resolved,0
INC0184,2026-03-21 1:49,2026-03-23 9:09,Laptop battery draining rapidly,Hardware,4-Low,Application Support - ERP,Closed,0
INC0185,2025-11-08 9:21,2025-11-12 3:47,Database backup job failed overnight,Database,3-Moderate,Cloud Infrastructure,Resolved,0
INC0186,2026-03-19 14:07,2026-03-22 9:13,Webcam not recognized by system,Hardware,4-Low,Service Desk - Tier 1,Closed,0
INC0187,2025-10-25 3:30,,Docking station not detecting external display,Hardware,4-Low,Network Operations,On Hold,0
INC0188,2025-11-18 17:02,2025-11-19 2:24,Teams audio not working in meetings,Software,2-High,Application Support - CRM,Closed,0
INC0189,2026-02-19 11:53,2026-02-20 15:22,Network printer unreachable from VLAN,Network,3-Moderate,Network Operations,Closed,1
INC0190,2026-02-15 4:04,,Database backup job failed overnight,Database,4-Low,Database Administration,On Hold,0
INC0191,2025-12-23 17:17,2025-12-24 11:11,Windows update failing repeatedly,Software,2-High,Application Support - ERP,Closed,0
INC0192,2026-02-05 16:48,2026-02-06 2:32,DNS resolution failures on finance subnet,Network,3-Moderate,Network Operations,Resolved,0
INC0193,2026-01-27 16:55,2026-01-29 7:43,Webcam not recognized by system,Hardware,4-Low,Service Desk - Tier 1,Closed,3
INC0194,2026-04-09 14:47,,Slow query performance on reporting DB,Database,3-Moderate,Application Support - ERP,On Hold,0
INC0195,2026-04-18 7:25,2026-04-20 17:29,Unable to connect to corporate WiFi,Network,4-Low,Application Support - ERP,Resolved,0
INC0196,2025-11-12 7:44,2025-11-20 8:38,Index corruption detected on customer table,Database,3-Moderate,Database Administration,Resolved,0
INC0197,2026-01-11 12:35,2026-01-11 20:01,Adobe Acrobat license expired error,Software,1-Critical,Application Support - CRM,Closed,0
INC0198,2026-01-18 14:33,2026-01-20 22:03,Database backup job failed overnight,Database,2-High,Storage & Backup,Resolved,0
INC0199,2026-01-20 11:19,2026-01-21 7:07,Outlook crashing on startup,Software,3-Moderate,Linux Server Team,Closed,1
INC0200,2025-12-01 17:01,2025-12-14 23:14,Failover cluster node not rejoining,Database,3-Moderate,Database Administration,Resolved,0
INC0201,2025-12-22 14:34,,Network printer unreachable from VLAN,Network,3-Moderate,Network Operations,On Hold,0
INC0202,2026-03-29 18:17,2026-04-02 2:57,Hard drive making clicking noise,Hardware,4-Low,Service Desk - Tier 1,Resolved,0
INC0203,2026-02-15 13:32,2026-02-16 1:13,VPN client disconnecting frequently,Software,2-High,Application Support - CRM,Closed,0
INC0204,2026-04-08 19:37,2026-04-13 1:53,PowerBI report failing to refresh,Software,4-Low,Windows Server Team,Resolved,0
INC0205,2025-11-07 19:16,2025-11-11 22:59,Index corruption detected on customer table,Database,4-Low,Application Support - CRM,Closed,0
INC0206,2026-03-22 6:17,2026-03-27 12:02,Deadlock errors on orders table,Database,2-High,End User Computing,Closed,0
INC0207,2025-12-29 10:29,2025-12-30 21:45,Chrome browser freezing on launch,Software,4-Low,Cloud Infrastructure,Closed,0
INC0208,2026-02-19 9:28,2026-02-20 6:43,Cannot reach internal SharePoint site,Network,3-Moderate,Application Support - CRM,Closed,0
INC0209,2026-04-15 13:01,,Slow network performance in HQ floor 3,Network,2-High,Desktop Support,On Hold,0
INC0210,2025-11-16 9:20,,Database backup job failed overnight,Database,4-Low,Database Administration,On Hold,0
INC0211,2026-02-11 20:59,2026-02-13 5:00,Excel file corrupted on save,Software,3-Moderate,Application Support - ERP,Closed,0
INC0212,2026-04-09 11:24,2026-04-11 18:10,Intermittent packet loss to data center,Network,3-Moderate,Security Operations,Resolved,0
INC0213,2025-12-13 21:28,2025-12-23 20:35,Production DB replication lag exceeding SLA,Database,3-Moderate,Desktop Support,Closed,0
INC0214,2026-01-13 19:41,2026-01-16 4:51,Tablespace reaching capacity threshold,DB,3-Moderate,Network Operations,Closed,0
INC0215,2026-01-07 17:05,2026-01-10 10:17,Monitor flickering intermittently,Hardware,4-Low,Service Desk - Tier 1,Closed,0
INC0216,2025-10-24 7:34,2025-10-27 6:48,Excel file corrupted on save,Software,3-Moderate,Database Administration,Closed,0
INC0217,2026-01-05 1:36,2026-01-05 18:07,Mouse cursor freezing,Hardware,3-Moderate,Application Support - CRM,Closed,0
INC0218,2025-11-21 3:27,2025-11-22 15:46,VPN client disconnecting frequently,Software,3-Moderate,Cloud Infrastructure,Resolved,0
INC0219,2025-12-09 20:46,2025-12-18 14:09,Production DB replication lag exceeding SLA,Database,3-Moderate,Security Operations,Resolved,0
INC0220,2026-01-06 19:41,2026-01-09 13:09,Slow network performance in HQ floor 3,Network,3-Moderate,Network Operations,Closed,0
INC0221,2025-12-23 4:52,,Keyboard keys unresponsive,Hardware,4-Low,Desktop Support,On Hold,1
INC0222,2026-03-21 8:10,2026-03-23 11:24,Slow query performance on reporting DB,Database,3-Moderate,Application Support - ERP,Resolved,0
INC0223,2026-02-04 3:39,2026-02-08 8:07,Scheduled maintenance plan did not run,Database,3-Moderate,Database Administration,Resolved,0
